phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,rr_boot_ci_lower,rr_boot_ci_upper,or_boot_ci_lower,or_boot_ci_upper,experiment,censoring
1,2,I→II,717,927,15820,23248,0.7734627831715211,0.680488644184446,1.1366284945114742,1.0965092953383475,1.1782155792275104,1.6031172114863645,1.3712352104340477,1.8742114950142796,1.0052000919423243e-09,1.0863824972472038,1.1857549149157873,1.333246955169733,1.9438224362729948,Combined GE × Citeline,uncensored
2,3,II→III,359,717,4559,15820,0.500697350069735,0.2881795195954488,1.7374494577984665,1.6085454064627562,1.876683496950498,2.4769588302835204,2.131125622969972,2.878912899732873,2.4361558676026373e-31,1.5544792952480753,1.9226220362622035,2.015147598614486,3.006746086240044,Combined GE × Citeline,uncensored
3,4,III→Approved,247,359,2225,4559,0.6880222841225627,0.4880456240403597,1.409749929579669,1.3069243305127758,1.520665594441968,2.3133948635634027,1.8367794492164562,2.913684491104544,1.7998122650415883e-13,1.2646147153189407,1.5624949406173025,1.7108576064908723,3.2058576163854946,Combined GE × Citeline,uncensored
1,4,I→Approved,247,927,2225,23248,0.2664509169363538,0.09570715760495527,2.7840228840163386,2.4843526529802826,3.1198402567480286,3.4320429610046266,2.948017834248926,3.995538544352921,1.4267934075998756e-47,2.3495243735077924,3.2540189300959828,2.768071770729295,4.2002789057877985,Combined GE × Citeline,uncensored
1,2,I→II,589,736,15948,23439,0.8002717391304348,0.6804044541149367,1.1761706354074655,1.1332853818853752,1.2206787325654582,1.8820516167339774,1.5676595168946301,2.2594946478349742,1.0129369045478581e-12,1.1208131785380695,1.230386867161337,1.5134780934538192,2.3862278700988377,Open Targets GE × Citeline,uncensored
2,3,II→III,310,589,4608,15948,0.5263157894736842,0.28893905191873587,1.821546052631579,1.6808430182252632,1.9740273100346195,2.734375,2.3177023286041996,3.2259563915301377,4.964203118850369e-32,1.6271168274383707,2.0190373052017363,2.2002656413267285,3.3641023272995936,Open Targets GE × Citeline,uncensored
3,4,III→Approved,215,310,2257,4608,0.6935483870967742,0.4898003472222222,1.4159818200008576,1.3075760374306922,1.5333750827314439,2.357414360002798,1.83912897672332,3.021757872930008,2.5453595902698427e-12,1.263285397162436,1.5765218407878088,1.7106243960796945,3.3666031977151176,Open Targets GE × Citeline,uncensored
1,4,I→Approved,215,736,2257,23439,0.2921195652173913,0.0962925039464141,3.0336688033364796,2.6930319999774612,3.417392146997886,3.8728987317766776,3.2848139137974632,4.566269195218172,2.5155022859858178e-48,2.5512393085831504,3.554620997297647,3.0836122914537567,4.7940499748100365,Open Targets GE × Citeline,uncensored
1,2,I→II,819,958,55334,69437,0.8549060542797495,0.7968950271469102,1.0727963221712322,1.0448907787766057,1.1014471294422048,1.5017185369787085,1.2534070597431581,1.7992228037774005,4.5570181267163955e-06,1.0355525900352953,1.107479485021162,1.2071688989522968,1.8908899054778459,Minikel et al. GE × Open Targets CT,uncensored
2,3,II→III,555,819,24372,55334,0.6776556776556777,0.4404525246683775,1.5385442010257373,1.4662049073908896,1.6144525547402577,2.6707109872730257,2.304472086890938,3.095154512009684,6.256316057624583e-42,1.4501657509954102,1.6288603114029931,2.266330552453524,3.156919784439504,Minikel et al. GE × Open Targets CT,uncensored
3,4,III→Approved,294,555,5910,24372,0.5297297297297298,0.24249138355489908,2.1845301138702156,2.013617551675204,2.369949454619954,3.5188284030573547,2.970966087828762,4.167719510798013,1.5517068819625418e-46,1.9586771113377213,2.4192212096106047,2.8684243254637436,4.343586103223651,Minikel et al. GE × Open Targets CT,uncensored
1,4,I→Approved,294,958,5910,69437,0.3068893528183716,0.0851131241269064,3.605664296387355,3.2682890040142234,3.9778657891864766,4.7593771023179015,4.138165836145115,5.473843074198539,4.252228491627089e-84,3.1484994282613328,4.084844628515813,3.9636441865389553,5.676550756847335,Minikel et al. GE × Open Targets CT,uncensored
1,2,I→II,1466,1654,54687,68741,0.8863361547762999,0.7955514176401275,1.1141154865960399,1.0946027953792659,1.1339760164261707,2.003973483137499,1.7197353107730717,2.3351905935530106,4.364396594407854e-22,1.0861137644690908,1.1409928737945545,1.6436649617331658,2.4787331126258647,Combined GE × Open Targets CT,uncensored
2,3,II→III,915,1466,24012,54687,0.6241473396998636,0.4390805858796423,1.421486988429387,1.3646066333317406,1.4807382647265994,2.1214154719373526,1.9060899620125231,2.361065686439837,1.0721311293609944e-44,1.3305027003873855,1.5105020224166215,1.802544758527985,2.484406702006454,Combined GE × Open Targets CT,uncensored
3,4,III→Approved,444,915,5760,24012,0.4852459016393443,0.239880059970015,2.0228688524590166,1.8852972496712055,2.170479161820504,2.9871019108280255,2.615139969035176,3.4119695050067973,1.1722941845225004e-55,1.8283526710176456,2.226398597336501,2.510849420020561,3.559840192195183,Combined GE × Open Targets CT,uncensored
1,4,I→Approved,444,1654,5760,68741,0.26844014510278114,0.083792787419444,3.2036187525191453,2.9475422867361547,3.4819426196788674,4.0122193526170795,3.5869318450313186,4.4879314213383,8.711615744409467e-105,2.815964308101291,3.6136650921987195,3.392178891339171,4.706578531455868,Combined GE × Open Targets CT,uncensored
1,2,I→II,1140,1292,55013,69103,0.8823529411764706,0.7961014717161339,1.1083423062570237,1.0861077204946403,1.1310320741295201,1.9209096031847017,1.6201994183436839,2.2774318160040794,6.198780271821333e-16,1.0752271594863116,1.1391689531560918,1.5330644545688297,2.447694381024486,Open Targets GE × Open Targets CT,uncensored
2,3,II→III,747,1140,24180,55013,0.6552631578947369,0.4395324741424754,1.4908185320621654,1.4278589662083612,1.5565542172851154,2.4237484136154412,2.1426089958018806,2.7417771436662846,1.413284035020945e-47,1.3899260247703729,1.5902853561169663,2.011673720213192,2.916218388584672,Open Targets GE × Open Targets CT,uncensored
3,4,III→Approved,378,747,5826,24180,0.5060240963855421,0.24094292803970224,2.10018239797501,1.9497938720565107,2.2621704622098777,3.2271985129738012,2.7876098582217446,3.736107551572539,4.246399095769977e-53,1.891212765247193,2.3173612716645775,2.6820283975659227,3.8943276010146404,Open Targets GE × Open Targets CT,uncensored
1,4,I→Approved,378,1292,5826,69103,0.29256965944272445,0.08430893014775045,3.4702096080450717,3.1769971870582543,3.7904832817680174,4.491806141788,3.9726427126111084,5.078816262875818,3.436769660810881e-101,3.0368822003939693,3.938771649723405,3.7645413692778527,5.341052570022036,Open Targets GE × Open Targets CT,uncensored
1,2,I→II,17615,19037,1934605,2164315,0.9253033566213164,0.8938648024894713,1.0351714868336763,1.0309750648405576,1.0393849897030887,1.4708576616404332,1.3932514406396421,1.5527866670018553,5.439388182174219e-49,1.0282782737126477,1.0418002908479647,1.3491984969239461,1.6063119987905403,Minikel et al. GE × Combined CT,uncensored
2,3,II→III,13188,17615,1184476,1934605,0.7486801021856372,0.6122572824943593,1.222819431621109,1.2123128755244,1.2334170431897526,1.8865968574668706,1.8232262896551583,1.9521700201443788,4.873735e-318,1.2031551139671757,1.2416667432991102,1.772877697109302,2.00537479358836,Minikel et al. GE × Combined CT,uncensored
3,4,III→Approved,9208,13188,622420,1184476,0.6982104943888383,0.5254813098787987,1.3287066186043406,1.3137105483349367,1.3438738697505441,2.0891916799382018,2.012589885868536,2.1687090381254714,0.0,1.3024135341650696,1.355525421984685,1.9605884330290257,2.228407463644993,Minikel et al. GE × Combined CT,uncensored
1,4,I→Approved,9208,19037,622420,2164315,0.4836896569837684,0.2875829072939937,1.6819137880447683,1.6571625333148132,1.7070347256503564,2.3207440007130185,2.2553613901749743,2.3880220439650355,0.0,1.6310887483943306,1.733721974763902,2.19162984352471,2.4585188651042467,Minikel et al. GE × Combined CT,uncensored
1,2,I→II,17541,18787,1934679,2164565,0.9336775429818491,0.8937957511093453,1.0446206997773306,1.0406184279874722,1.0486383645095483,1.6727841787453541,1.5791135694826008,1.7720111857297294,4.209487048541653e-79,1.0392153262155406,1.050079539614728,1.5528430110632696,1.8106096210605473,Combined GE × Combined CT,uncensored
2,3,II→III,12979,17541,1184685,1934679,0.7399236075480303,0.6123418923759445,1.2083504603564794,1.1977097900826998,1.2190856642683847,1.8011125438651918,1.7411504846213306,1.863139587486062,7.143973879777186e-276,1.1888953434934433,1.2271690997961993,1.6961282084709308,1.911263336492964,Combined GE × Combined CT,uncensored
