phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,evidence_scope,ct
1,2,I→II,13352,13991,1938868,2122687,0.954327782145665,0.913402682543399,1.0448051011721455,1.041000043680927,1.0486240668880558,1.9810143513294012,1.829598200948745,2.144961586723263,4.680741781036095e-78,"Open Targets, with somatic",Combined CT
2,3,II→III,9747,12570,1187917,1789198,0.775417661097852,0.6639382561348716,1.16790628335225,1.156903451174651,1.1790137589344525,1.7476379673176696,1.6757470324026682,1.8226130828536224,6.2632583641651104e-164,"Open Targets, with somatic",Combined CT
3,4,III→Approved,6138,9089,625490,1079358,0.6753218175816922,0.5795018890859196,1.165348776769157,1.1487510647715518,1.1821863005519293,1.5092697499338763,1.4441999526286344,1.5772713286130466,6.928772446248775e-78,"Open Targets, with somatic",Combined CT
1,4,I→Approved,6138,12551,625490,1864458,0.4890446976336547,0.3354808743345251,1.4577424081290644,1.4317432842826237,1.484213651836798,1.8958560680536236,1.8304113104831257,1.9636407457660763,3.411940891909397e-273,"Open Targets, with somatic",Combined CT
1,2,I→II,17541,18544,1934679,2118134,0.9459124245038827,0.9133883880812074,1.035608112438346,1.0320243222059797,1.0392043476801498,1.6583418116218245,1.5558263347081513,1.767612170344854,6.520688251991559e-63,"Combined, germline (headline)",Combined CT
2,3,II→III,12979,16603,1184685,1785165,0.7817261940613143,0.6636277318903294,1.17795890149826,1.168449894999435,1.1875452936042743,1.8153012256003336,1.7494424228713648,1.8836393222118495,1.0259684750813332e-242,"Combined, germline (headline)",Combined CT
3,4,III→Approved,8576,12221,623052,1076226,0.7017429015628835,0.5789230143111205,1.2121523660583964,1.1980884626518158,1.2263813602618552,1.7113070138819373,1.6459463560668453,1.7792631485023793,4.666434156162501e-171,"Combined, germline (headline)",Combined CT
1,4,I→Approved,8576,16848,623052,1860161,0.5090218423551757,0.3349452009799152,1.519716780135921,1.4971398583484732,1.5426341626989966,2.058533403255561,1.9969799321516704,2.121984154218872,0.0,"Combined, germline (headline)",Combined CT
1,2,I→II,18892,19948,1933328,2116730,0.947062362141568,0.913355978325058,1.0369038848120553,1.0334804861329479,1.0403386234812966,1.697119975597425,1.5948369044580197,1.8059628564656272,1.0811514468432558e-72,"Combined, + OT somatic",Combined CT
2,3,II→III,13794,17814,1183870,1783954,0.7743347928595486,0.6636213714030743,1.166832212203167,1.1575393911880163,1.1761996367463503,1.7392908030316458,1.6790212253947494,1.8017237970289732,1.636563140490176e-227,"Combined, + OT somatic",Combined CT
3,4,III→Approved,8819,12881,622809,1075566,0.6846518127474575,0.5790523315166154,1.1823660410005827,1.1684605834049322,1.19643698278431,1.5783005844727978,1.5204195320115501,1.6383851183833986,1.0958698302288604e-132,"Combined, + OT somatic",Combined CT
1,4,I→Approved,8819,17957,622809,1859052,0.4911176699894192,0.3350142976097495,1.4659603291364924,1.4440982239538152,1.4881534032484922,1.9156543696984016,1.860125926886572,1.9728404464997042,0.0,"Combined, + OT somatic",Combined CT
