phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,subsource,threshold
3,4,III→Approved,391,779,5813,19871,0.5019255455712451,0.29253686276483315,1.7157685388003119,1.5946313468358813,1.846107995166571,2.4370713704263993,2.1107916050118187,2.813786472548886,4.157201957894692e-33,impc,0.0
1,4,I→Approved,391,1514,5813,54388,0.2582562747688243,0.10688019416047657,2.4163155465554476,2.2110951128069867,2.640583295900586,2.9094405498530254,2.58493715648288,3.2746808919124835,2.9756219092241907e-59,impc,0.0
1,2,I→II,352,425,55801,67189,0.8282352941176471,0.8305079700546221,0.9972635109849391,0.9548792583947368,1.0415290745909973,0.9840683858712209,0.7641985127241929,1.2671976874426243,0.8968084450922542,intogen,0.0
2,3,II→III,112,311,24815,48407,0.36012861736334406,0.5126324705104633,0.7025084013986458,0.6056234832517697,0.8148925325448709,0.5350759438943661,0.4241984908128037,0.6749346636897681,7.401738986726315e-08,intogen,0.0
3,4,III→Approved,40,90,6164,20560,0.4444444444444444,0.2998054474708171,1.4824428581729037,1.1755835657742777,1.8694007739895653,1.8683971447112264,1.2315096652099342,2.8346573226203398,0.003817347369079861,intogen,0.0
1,4,I→Approved,40,362,6164,55540,0.11049723756906077,0.1109830752610731,0.9956224163831335,0.742591989572585,1.3348703055295994,0.9950786171760694,0.7156378507940921,1.3836348276747867,1.0,intogen,0.0
1,2,I→II,116,124,56037,67490,0.9354838709677419,0.8303007853015262,1.1266807011726698,1.0756527945728565,1.1801293212825459,2.9635508681763834,1.4472393645754433,6.068542608254329,0.0010566205814922839,orphanet,0.0
2,3,II→III,85,110,24842,48608,0.7727272727272727,0.5110681369321922,1.5119848350667124,1.3657498262685948,1.6738776732761003,3.252733274293535,2.081758437213493,5.082373422662052,2.550616339804242e-08,orphanet,0.0
3,4,III→Approved,47,74,6157,20576,0.6351351351351351,0.29923211508553654,2.1225500309469774,1.7836604670964515,2.5258274862182026,4.07661860333616,2.5371258969067383,6.550254071872476,4.30950884846646e-09,orphanet,0.0
1,4,I→Approved,47,107,6157,55795,0.4392523364485981,0.11035038981987633,3.9805236498537493,3.209250904891963,4.937154805469599,6.315267175572519,4.307125397065629,9.259679211112598,6.956696174624521e-18,orphanet,0.0
1,2,I→II,132,165,56021,67449,0.8,0.8305682812198847,0.9631959443780012,0.8923775127474562,1.0396344753353088,0.8159797218900056,0.5569090340885688,1.195568514390091,0.2987130820360151,reactome,0.0
2,3,II→III,68,115,24859,48603,0.591304347826087,0.5114704853609859,1.1560869390317916,0.9928707657322594,1.3461339146330673,1.3819148508224686,0.9524272474438852,2.0050756213126926,0.0930079739523631,reactome,0.0
3,4,III→Approved,26,53,6178,20597,0.49056603773584906,0.29994659416419867,1.6355112786088188,1.2421118590360307,2.1535074502328384,2.2474851024543483,1.3105520421598118,3.8542454807287068,0.003951578500855531,reactome,0.0
1,4,I→Approved,26,133,6178,55769,0.19548872180451127,0.11077838942781833,1.764682830416929,1.2490729242135887,2.4931334524995266,1.9504936116397347,1.2696273907504028,2.996489644728633,0.003535648907822186,reactome,0.0
1,2,I→II,207,221,55946,67393,0.9366515837104072,0.8301455640793555,1.1282980048796245,1.0900826804587784,1.1678530543018584,3.0252756484569305,1.7601208564597282,5.199809271935589,3.763910252907916e-06,uniprot_literature,0.0
2,3,II→III,141,196,24786,48522,0.7193877551020408,0.5108198343019661,1.408300357179909,1.2898355947352305,1.5376454984871006,2.455034000132039,1.7968612528589503,3.3542890037917927,4.0408601798805915e-09,uniprot_literature,0.0
3,4,III→Approved,78,120,6126,20530,0.65,0.2983925962006819,2.178338230492981,1.9071431538025907,2.4880971504242226,4.366680658551373,2.9972544725859196,6.3617888131185545,2.767676646530791e-15,uniprot_literature,0.0
1,4,I→Approved,78,189,6126,55713,0.4126984126984127,0.10995638360885251,3.753291979540755,3.161127822987081,4.456384389535182,5.688037694893718,4.252768930299392,7.607695915012751,1.6642436877716382e-26,uniprot_literature,0.0
1,2,I→II,143,151,56010,67463,0.9470198675496688,0.8302328683871159,1.1406677615515677,1.0982677927202755,1.1847046329386943,3.6551039992858416,1.792783627410165,7.45197861099097,2.813987703236168e-05,uniprot_variants,0.0
2,3,II→III,100,134,24827,48584,0.746268656716418,0.5110118557549811,1.4603744478958574,1.3225789920587134,1.6125263903877685,2.814416941707202,1.9064614713960661,4.154787726167979,3.050713070516481e-08,uniprot_variants,0.0
3,4,III→Approved,54,84,6150,20566,0.6428571428571429,0.29903724593990083,2.1497560975609757,1.8305065349085639,2.524684392471422,4.219317073170732,2.697627423353147,6.599368174357221,1.4813045380690616e-10,uniprot_variants,0.0
1,4,I→Approved,54,126,6150,55776,0.42857142857142855,0.11026247848537005,3.886829268292683,3.1727567260341836,4.761613658208304,6.051951219512195,4.248446717296109,8.621059883896944,1.0103011074373633e-19,uniprot_variants,0.0
1,2,I→II,56153,67614,0,0,0.8304936847398467,0.0,,,,,,,,overall,0.0
2,3,II→III,24927,48718,0,0,0.5116589350958578,0.0,,,,,,,,overall,0.0
3,4,III→Approved,6204,20650,0,0,0.3004358353510896,0.0,,,,,,,,overall,0.0
1,4,I→Approved,6204,55902,0,0,0.11097992916174734,0.0,,,,,,,,overall,0.0
1,2,I→II,315,344,55838,67270,0.9156976744186046,0.8300579753233239,1.1031731537329332,1.0681682749416503,1.1393251753180418,2.2238470649699686,1.519476533087444,3.2547365231937655,6.836174680493549e-06,cancer_biomarkers,0.25
2,3,II→III,135,277,24792,48441,0.48736462093862815,0.5117978571870936,0.9522599872091032,0.8436586646285502,1.0748411902327002,0.9068733553304337,0.7160351955799278,1.1485738238637686,0.43359256173921856,cancer_biomarkers,0.25
3,4,III→Approved,51,108,6153,20542,0.4722222222222222,0.29953266478434426,1.5765299673149502,1.2901381885657337,1.9264965256203963,2.0923725696493793,1.4323867657513842,3.056453099749617,0.00019511992579678163,cancer_biomarkers,0.25
1,4,I→Approved,51,279,6153,55623,0.1827956989247312,0.11061970767488269,1.6524695532732525,1.2879521381208245,2.120153027176338,1.798416690189638,1.3259850458421092,2.439169733998474,0.0003631432333413496,cancer_biomarkers,0.25
1,2,I→II,3496,4256,52657,63358,0.8214285714285714,0.8311026231888633,0.9883599792728683,0.9741897693769335,1.0027363038856754,0.9348158839280627,0.8619521261861876,1.0138390640218005,0.1042009072838055,cancer_gene_census,0.25
2,3,II→III,988,3030,23939,45688,0.32607260726072607,0.5239669059709333,0.6223152713366494,0.5908233696168578,0.6554857455790076,0.43957652896672283,0.4065342350177793,0.4753044348404791,2.1033704091339878e-100,cancer_gene_census,0.25
3,4,III→Approved,273,767,5931,19883,0.3559322033898305,0.2982950259015239,1.1932220536165907,1.0823129527950917,1.3154964703693703,1.3000026621941805,1.1179170995242025,1.5117461951617357,0.0007426875078945124,cancer_gene_census,0.25
1,4,I→Approved,273,3569,5931,52333,0.07649201456990753,0.11333193205052261,0.6749378854302767,0.6007228316037625,0.7583216838503131,0.6480137479067529,0.5710920126710443,0.7352962537720461,1.5724323243336948e-12,cancer_gene_census,0.25
1,2,I→II,29150,29992,27003,37622,0.9719258468925047,0.71774493647334,1.3541382147090995,1.345200479309334,1.363135333907269,13.614386384269963,12.667367690190595,14.632204665830338,0.0,chembl,0.25
2,3,II→III,24856,28221,71,20497,0.8807625527089756,0.003463921549495048,254.26746539261794,201.57173643415686,320.7391328808871,2125.059774396752,1678.7109032851422,2690.0873973725033,0.0,chembl,0.25
3,4,III→Approved,6204,20579,0,71,0.3014723747509597,0.0,43.413411078717196,2.7415503171294033,687.4665949823325,61.719140203818995,3.822682376720332,996.4867315936436,1.169499125814067e-11,chembl,0.25
1,4,I→Approved,6204,24786,0,31116,0.25030259017187123,0.0,15577.95832492839,974.3232801075599,249068.0357616173,20778.939782053007,1299.4759584952867,332260.3512927941,0.0,chembl,0.25
1,2,I→II,77,80,56076,67534,0.9625,0.8303373115763911,1.1591674691490121,1.1099496884764242,1.210567682016036,5.2444658439736545,1.6546332700117719,16.62266949848689,0.0004962511050120074,clingen,0.25
