phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,experiment,similarity_threshold
3,4,III→Approved,238,277,2234,3241,0.8592057761732852,0.6892934279543351,1.2465022025862207,1.1821826030174947,1.31432127074645,2.750797695291876,1.9449377549151292,3.890555335922969,4.4239325154465956e-10,Minikel et al. GE × Citeline,0.9
1,4,I→Approved,238,550,2234,13895,0.43272727272727274,0.16077725800647716,2.6914706600472043,2.4281639112991047,2.983330029816346,3.981759176365264,3.3436924855631025,4.741586197601238,7.23045544822898e-49,Minikel et al. GE × Citeline,0.9
1,2,I→II,662,770,15875,20164,0.8597402597402597,0.7872941876611783,1.0920190612537068,1.0603628275888592,1.1246203649490853,1.6560618256051327,1.347517557116246,2.0352542018790296,5.167529641613465e-07,Minikel et al. GE × Citeline,1.0
2,3,II→III,337,498,4581,10950,0.6767068273092369,0.41835616438356166,1.6175376029330155,1.5163506228493222,1.7254768504568199,2.9101473680785204,2.4027873812453717,3.5246388299013187,8.538238621273403e-30,Minikel et al. GE × Citeline,1.0
3,4,III→Approved,237,275,2235,3243,0.8618181818181818,0.6891766882516188,1.250503965832825,1.1863460646311312,1.3181315428814953,2.8128576474743907,1.981255216574893,3.993512839114878,2.4284700995782083e-10,Minikel et al. GE × Citeline,1.0
1,4,I→Approved,237,544,2235,13901,0.43566176470588236,0.16077980001438746,2.709679727595736,2.4447053618097954,3.00337387925873,4.029530201342282,3.3812214385092108,4.802144414028249,2.7215822425368636e-49,Minikel et al. GE × Citeline,1.0
1,2,I→II,7422,8681,48731,58933,0.8549706255039742,0.8268881611321331,1.0339616234599271,1.024268855387027,1.04374611525597,1.2341706538964479,1.1583111708079223,1.3149982848536022,3.920239914541597e-11,Open Targets GE × Open Targets CT,0.5
2,3,II→III,3686,6663,21241,42055,0.5532042623442893,0.5050766852930686,1.0952876631462307,1.0697826287233119,1.1214007713623186,1.2132689618889272,1.151858102031974,1.2779539174888521,2.938006681576663e-13,Open Targets GE × Open Targets CT,0.5
3,4,III→Approved,1243,3231,4961,17419,0.3847106159083875,0.2848039497100867,1.350791013607781,1.2854887864407984,1.4194105632733713,1.5701236242287429,1.4521087030818034,1.6977297843674741,5.940067217662928e-29,Open Targets GE × Open Targets CT,0.5
1,4,I→Approved,1243,7467,4961,48435,0.16646578277755458,0.10242593166098896,1.6252308383049499,1.5348871996593878,1.7208921140026232,1.7500961872787693,1.635692480968155,1.8725015248066759,1.1505286894099443e-54,Open Targets GE × Open Targets CT,0.5
1,2,I→II,3993,4651,52160,62963,0.8585250483766932,0.8284230421040929,1.0363365149720425,1.023774134926696,1.0490530436591838,1.2568406248251813,1.1543938756325816,1.3683790165166467,7.862850335151145e-08,Open Targets GE × Open Targets CT,0.6
2,3,II→III,2109,3606,22818,45112,0.5848585690515807,0.5058077673346338,1.1562862550203745,1.1232672480219963,1.1902758723744618,1.3764650872434676,1.284997259990766,1.4744437170346822,5.46146313059285e-20,Open Targets GE × Open Targets CT,0.6
3,4,III→Approved,815,1872,5389,18778,0.43536324786324787,0.28698476941101286,1.5170256204075097,1.433977395836644,1.6048835495276923,1.915678298394378,1.7391375328911889,2.110139809839172,2.544336579898165e-38,Open Targets GE × Open Targets CT,0.6
1,4,I→Approved,815,4027,5389,51875,0.20238390861683636,0.10388433734939759,1.9481657560768948,1.8231551480860124,2.0817481261181197,2.1887495329145876,2.016668743119986,2.375513843895976,2.814149800155505e-69,Open Targets GE × Open Targets CT,0.6
1,2,I→II,2053,2312,54100,65302,0.8879757785467128,0.8284585464457443,1.0718409295870137,1.0559965452822755,1.0879230462168414,1.6412981822593653,1.4400181054064676,1.8707123979719078,4.556299161975751e-15,Open Targets GE × Open Targets CT,0.7
2,3,II→III,1222,1889,23705,46829,0.6469031233456856,0.5062034209570992,1.2779509117551195,1.2346177598950265,1.3228049894524447,1.7871803182989816,1.6234616408902163,1.9674092751362022,1.5759912827539877e-33,Open Targets GE × Open Targets CT,0.7
3,4,III→Approved,551,1100,5653,19550,0.5009090909090909,0.289156010230179,1.732314298120065,1.6266277465616896,1.844867600355669,2.4672964078908404,2.1835571104875773,2.787905814394626,2.3389322621342826e-46,Open Targets GE × Open Targets CT,0.7
1,4,I→Approved,551,2026,5653,53876,0.271964461994077,0.10492612666122207,2.5919613221993436,2.4037327519953497,2.7949294655158763,3.1866533144243196,2.8786118786411423,3.527658390378452,3.658687381211037e-93,Open Targets GE × Open Targets CT,0.7
1,2,I→II,1140,1269,55013,66345,0.8983451536643026,0.8291958700731027,1.0833931837903432,1.063186456561908,1.1039839563786156,1.820356203332912,1.5156520745480149,2.1863175346497625,6.495161631278933e-12,Open Targets GE × Open Targets CT,0.8
2,3,II→III,747,1069,24180,47649,0.6987839101964453,0.5074608071523012,1.3770204523139131,1.322577905500915,1.4337040700620578,2.251661066843395,1.9734392862155767,2.569107443716156,3.954454535032817e-36,Open Targets GE × Open Targets CT,0.8
3,4,III→Approved,378,675,5826,19975,0.56,0.2916645807259074,1.9200137315482322,1.7897165050774562,2.0597970230901024,3.090940298973255,2.6471054769813733,3.609192007985898,5.965740582395926e-46,Open Targets GE × Open Targets CT,0.8
1,4,I→Approved,378,1126,5826,54776,0.33570159857904086,0.10636044983204324,3.156263433533392,2.897110176735742,3.4385985530879846,4.245925970800267,3.7409003462825474,4.819130605131215,7.501631969031756e-92,Open Targets GE × Open Targets CT,0.8
1,2,I→II,758,842,55395,66772,0.9002375296912114,0.8296142095489127,1.0851279056330276,1.0607237119353774,1.1100935694508713,1.853305911226301,1.4779890388562777,2.323929819698988,1.1053099387773716e-08,Open Targets GE × Open Targets CT,0.9
2,3,II→III,522,717,24405,48001,0.7280334728033473,0.5084269077727548,1.4319334041398677,1.3681118829465346,1.4987321573989427,2.5881859013758213,2.193483373121309,3.053912485576933,1.280908013432411e-32,Open Targets GE × Open Targets CT,0.9
3,4,III→Approved,273,471,5931,20179,0.5796178343949044,0.2939194211804351,1.9720297218436649,1.8207245605813824,2.135908587179723,3.3122525201432635,2.751602208746047,3.9871376474127347,8.49106606092177e-37,Open Targets GE × Open Targets CT,0.9
1,4,I→Approved,273,750,5931,55152,0.364,0.10753916449086162,3.3848133535660088,3.070039744630744,3.731860950176977,4.749706530764165,4.083356769285019,5.524795750907137,4.948999304936007e-75,Open Targets GE × Open Targets CT,0.9
1,2,I→II,699,778,55454,66836,0.8984575835475579,0.8297025555090071,1.0828670799939515,1.0573237348380118,1.1090275138051982,1.8160833953834699,1.4378786223757747,2.293767253829867,8.432569952771982e-08,Open Targets GE × Open Targets CT,1.0
2,3,II→III,477,662,24450,48056,0.7205438066465257,0.5087814216747129,1.416214853668934,1.3495092814987706,1.4862176490739072,2.489374233128834,2.098731691105464,2.952728116142201,3.5806312522522537e-28,Open Targets GE × Open Targets CT,1.0
3,4,III→Approved,252,430,5952,20220,0.586046511627907,0.29436201780415433,1.9909039759939984,1.8336986129557098,2.1615867589274598,3.393756795940558,2.7945477287937055,4.1214487307985275,3.195616598707483e-35,Open Targets GE × Open Targets CT,1.0
1,4,I→Approved,252,694,5952,55208,0.3631123919308357,0.10781046225184755,3.3680626568745935,3.043247934630843,3.7275458011636498,4.718179827762371,4.032527207601334,5.5204143062299105,4.70442895959217e-69,Open Targets GE × Open Targets CT,1.0
1,2,I→II,204860,220665,1747360,1916013,0.9283755919606643,0.9119771108024841,1.017981242033312,1.0167201429447088,1.019243905338895,1.2510490840418118,1.2300414456532376,1.272415507796704,5.207313546795268e-156,Combined GE × Combined CT,0.5
2,3,II→III,131953,189594,1065711,1612174,0.6959766659282467,0.6610396892643102,1.0528515567693353,1.049515373851117,1.0561983446931984,1.1738404617221312,1.161794985422906,1.1860108253733384,5.407447450761249e-207,Combined GE × Combined CT,0.5
